Report Date,FORESADDLE PRICE,FORESADDLE CHANGE,FORESADDLE %,FORESADDLE WEIGHT
11/09/2018,412.8397,0.8190,49.1200,32.4192
11/08/2018,412.0207,0.7947,49.1200,32.4192
11/07/2018,411.2260,0.2612,49.1200,32.9104
11/06/2018,410.9648,-1.8051,49.1200,32.9104
11/05/2018,412.7699,1.6405,49.1200,32.9104
11/02/2018,411.1294,-0.6553,49.1200,32.9104
11/01/2018,411.7847,3.4351,49.1200,33.8928
10/31/2018,408.3496,0.9442,49.1200,33.8928
10/30/2018,407.4054,0.5410,49.1200,33.8928
10/29/2018,406.8644,-1.0996,49.1200,33.8928
10/26/2018,407.9640,1.0571,49.1200,33.8928
10/25/2018,406.9069,-5.0994,49.1200,33.8928
10/24/2018,412.0063,-0.7760,49.1200,33.8928
10/23/2018,412.7823,-2.7387,49.1200,33.8928
10/22/2018,415.5210,1.1324,49.1200,33.8928
10/19/2018,414.3886,-2.4570,49.1200,33.8928
10/18/2018,416.8456,1.5805,49.1200,33.8928
10/17/2018,415.2651,0.9098,49.1200,33.8928
10/16/2018,414.3553,2.0720,49.1200,33.8928
10/15/2018,412.2833,-1.7468,49.1200,33.8928
10/12/2018,414.0301,-2.1719,49.1200,33.8928
10/11/2018,416.2020,-0.3572,49.1200,33.8928
10/10/2018,416.5592,-1.7676,49.1200,33.4016
10/09/2018,418.3268,-0.8453,49.1200,33.4016
10/08/2018,419.1721,-0.8650,49.1200,33.4016
10/05/2018,420.0371,4.3077,49.1200,33.4016
10/04/2018,415.7294,-1.0392,49.1200,33.4016
10/03/2018,416.7686,3.2475,49.1200,33.8928
10/02/2018,413.5211,-0.1746,49.1200,33.8928
10/01/2018,413.6957,2.2679,49.1200,33.8928
09/28/2018,411.4278,-2.7565,49.1200,33.8928
09/27/2018,414.1843,-1.2591,49.1200,33.8928
09/26/2018,415.4434,-1.8906,49.1200,32.9104
09/25/2018,417.3340,2.4719,49.1200,32.9104
09/24/2018,414.8621,0.4019,49.1200,32.9104
09/21/2018,414.4602,1.3125,49.1200,32.9104
09/20/2018,413.1477,7.4266,49.1200,32.9104
09/19/2018,405.7211,-3.0409,49.1200,32.9104
09/18/2018,408.7620,-2.2662,49.1200,32.9104
09/17/2018,411.0282,2.0139,49.1200,32.9104
09/14/2018,409.0143,-0.2136,49.1200,32.9104
09/13/2018,409.2279,-5.1849,49.1200,32.9104
09/12/2018,414.4128,2.2854,49.1200,32.9104
09/11/2018,412.1274,0.6459,49.1200,32.9104
09/10/2018,411.4815,-5.9418,49.1200,32.9104
09/07/2018,417.4233,0.1230,49.1200,32.9104
09/06/2018,417.3003,3.7935,49.1200,32.9104
09/05/2018,413.5068,-0.5953,49.1200,33.8928
09/04/2018,414.1021,1.2181,49.1200,33.8928
08/31/2018,412.8840,-0.2566,49.1200,33.8928
08/30/2018,413.1406,1.2763,49.1200,33.8928
08/29/2018,411.8643,3.3154,49.1200,34.3840
08/28/2018,408.5489,-1.0832,49.1200,34.3840
08/27/2018,409.6321,11.3640,49.1200,34.3840
08/24/2018,398.2681,1.7913,49.1200,34.3840
08/23/2018,396.4768,-1.1301,49.1200,34.3840
