Report Date,GROSS CARCASS PRICE,GROSS CARCASS CHANGE,GROSS CARCASS %,GROSS CARCASS WEIGHT
01/31/2014,360.6779,-0.5821,95.7400,67.0180
01/30/2014,361.2573,1.0273,95.7400,67.0180
01/29/2014,360.2305,0.9105,95.7400,67.0180
01/28/2014,359.3165,1.1565,95.7400,67.0180
01/27/2014,358.1582,-5.3818,95.7400,67.0180
01/24/2014,363.5444,-2.5256,95.7400,67.0180
01/23/2014,366.0679,-1.9021,95.7400,67.0180
01/22/2014,367.9671,-0.6329,95.7400,65.1032
01/21/2014,368.6001,-0.2699,95.7400,65.1032
01/20/2014,368.8661,5.4561,95.7400,65.1032
01/17/2014,363.4086,-1.6714,95.7400,65.1032
01/16/2014,365.0839,0.4339,95.7400,65.1032
01/15/2014,364.6488,-2.3112,95.7400,64.1458
01/14/2014,366.9635,0.1735,95.7400,64.1458
01/13/2014,366.7942,-1.7458,95.7400,64.1458
01/10/2014,368.5380,0.2680,95.7400,64.1458
01/09/2014,368.2671,-0.4629,95.7400,63.1884
01/08/2014,368.7314,1.6714,95.7400,63.1884
01/07/2014,367.0616,0.4716,95.7400,63.1884
01/06/2014,366.5913,2.5613,95.7400,63.1884
01/03/2014,364.0309,-4.5391,95.4463,62.9947
01/02/2014,368.5669,-1.3831,95.4463,62.9947
12/31/2013,369.9476,3.1676,95.4463,63.9490
12/30/2013,366.7822,4.1822,95.4463,63.9490
12/27/2013,362.5983,3.5283,95.4463,63.9490
12/26/2013,359.0662,-3.2438,95.4463,63.9490
12/24/2013,362.3062,-1.7738,95.4463,63.9490
12/23/2013,364.0801,0.2401,95.4463,63.9490
12/20/2013,363.8380,1.0780,95.4463,63.9490
12/19/2013,362.7641,4.4841,95.4463,63.9490
12/18/2013,358.2816,4.2616,95.4463,62.9947
12/17/2013,354.0194,-0.9106,95.4463,62.9947
12/16/2013,354.9269,-0.7031,95.4463,62.9947
12/13/2013,355.6275,0.5275,95.4463,62.9947
12/12/2013,355.1021,0.5321,95.4463,62.9947
12/11/2013,354.5701,-4.9199,95.4463,62.9947
12/10/2013,359.4924,0.1324,95.4463,62.9947
12/09/2013,359.3626,0.2526,95.4463,62.9947
12/06/2013,359.1063,2.0463,95.4463,62.9947
12/05/2013,357.0558,-0.2742,95.4463,62.9947
12/04/2013,357.3272,4.4572,95.4463,62.9947
12/03/2013,352.8686,1.4186,95.4463,62.9947
12/02/2013,351.4493,3.1693,95.4463,62.9947
11/29/2013,348.2849,1.4649,95.4463,62.9947
11/27/2013,346.8181,4.8181,95.4463,62.0400
11/26/2013,342.0011,1.5611,95.4463,62.0400
11/22/2013,332.6434,0.7234,95.4463,62.0400
11/21/2013,331.9236,-5.9964,95.4463,62.0400
11/20/2013,337.9203,0.1003,95.4463,62.0400
11/19/2013,337.8232,0.6032,95.4463,62.0400
11/18/2013,337.2188,-3.4012,95.4463,62.0400
