Report Date,HINDSADDLE PRICE,HINDSADDLE CHANGE,HINDSADDLE %,HINDSADDLE WEIGHT
01/28/2019,389.1161,3.0480,45.5500,31.4295
01/25/2019,386.0681,-0.8142,45.5500,31.4295
01/24/2019,386.8823,2.8414,45.5500,31.4295
01/23/2019,384.0409,-3.1770,45.5500,31.4295
01/22/2019,387.2179,-4.4750,45.5500,31.4295
01/21/2019,391.6929,2.0976,45.5500,31.4295
01/18/2019,389.5953,6.3557,45.5500,31.4295
01/17/2019,383.2396,-1.3994,45.5500,31.4295
01/16/2019,384.6390,3.9411,45.5500,31.4295
01/15/2019,380.6979,-3.2561,45.5500,31.4295
01/14/2019,383.9540,-2.3389,45.5500,31.4295
01/11/2019,386.2929,-5.8672,45.5500,31.4295
01/10/2019,392.1601,-5.1304,45.5500,31.4295
01/09/2019,397.2905,-6.9131,45.5500,31.4295
01/08/2019,404.2036,2.7011,45.5500,31.4295
01/07/2019,401.5025,-4.0510,45.5500,31.4295
01/04/2019,405.5535,-0.6757,45.0100,31.0569
01/03/2019,406.2292,-2.7932,45.0100,31.0569
01/02/2019,409.0224,2.1078,45.0100,31.0569
12/31/2018,406.9146,2.0163,45.0100,31.0569
12/28/2018,404.8983,1.0279,45.0100,31.0569
12/27/2018,403.8704,7.4543,45.0100,31.0569
12/26/2018,396.4161,18.0608,45.0100,31.0569
12/21/2018,378.3553,-1.5804,45.0100,31.0569
12/20/2018,379.9357,-6.2033,45.0100,31.0569
12/19/2018,386.1390,-0.1232,45.0100,31.5070
12/18/2018,386.2622,0.3522,45.0100,31.5070
12/17/2018,385.9100,-1.1974,45.0100,31.5070
12/14/2018,387.1074,-1.8850,45.0100,31.5070
12/13/2018,388.9924,3.2217,45.0100,31.5070
12/12/2018,385.7707,-5.9051,45.0100,30.1567
12/11/2018,391.6758,-6.0367,45.0100,30.1567
12/10/2018,397.7125,-7.0482,45.0100,30.1567
12/07/2018,404.7607,6.5397,45.0100,30.1567
12/06/2018,398.2210,-2.1667,45.0100,30.1567
12/05/2018,400.3877,-3.5367,45.0100,31.0569
12/04/2018,403.9244,4.2673,45.0100,31.0569
12/03/2018,399.6571,-1.8386,45.0100,31.0569
11/30/2018,401.4957,6.6469,45.0100,31.0569
11/29/2018,394.8488,0.9405,45.0100,31.0569
11/28/2018,393.9083,10.7179,45.0100,29.7066
11/27/2018,383.1904,-4.0273,45.0100,29.7066
11/26/2018,387.2177,-2.9439,45.0100,29.7066
11/23/2018,390.1616,1.6106,45.0100,29.7066
11/21/2018,388.5510,1.7679,45.0100,29.7066
11/20/2018,386.7831,1.1329,45.0100,29.7066
11/19/2018,385.6502,1.2220,45.0100,29.7066
11/16/2018,384.4282,-3.5990,45.0100,29.7066
11/15/2018,388.0272,-2.2134,45.0100,29.7066
11/14/2018,390.2406,0.4688,45.0100,29.7066
11/13/2018,389.7718,-2.3504,45.0100,29.7066
11/12/2018,392.1222,2.8515,45.0100,29.7066
11/09/2018,389.2707,4.5135,45.0100,29.7066
11/08/2018,384.7572,-1.6541,45.0100,29.7066
11/07/2018,386.4113,-6.3471,45.0100,30.1567
11/06/2018,392.7584,5.2544,45.0100,30.1567
11/05/2018,387.5040,-5.8102,45.0100,30.1567
11/02/2018,393.3142,-3.0312,45.0100,30.1567
11/01/2018,396.3454,2.5239,45.0100,31.0569
10/31/2018,393.8215,0.2745,45.0100,31.0569
10/30/2018,393.5470,-3.6028,45.0100,31.0569
10/29/2018,397.1498,2.9257,45.0100,31.0569
10/26/2018,394.2241,-3.0611,45.0100,31.0569
10/25/2018,397.2852,-6.5148,45.0100,31.0569
10/24/2018,403.8000,5.4985,45.0100,31.0569
10/23/2018,398.3015,4.6001,45.0100,31.0569
10/22/2018,393.7014,-0.8427,45.0100,31.0569
10/19/2018,394.5441,2.4285,45.0100,31.0569
10/18/2018,392.1156,3.2910,45.0100,31.0569
10/17/2018,388.8246,8.1195,45.0100,31.0569
10/16/2018,380.7051,-4.7633,45.0100,31.0569
10/15/2018,385.4684,-0.3037,45.0100,31.0569
10/12/2018,385.7721,-1.0712,45.0100,31.0569
10/11/2018,386.8433,-0.0905,45.0100,31.0569
10/10/2018,386.9338,-1.7304,45.0100,30.6068
10/09/2018,388.6642,-1.7761,45.0100,30.6068
10/08/2018,390.4403,2.2011,45.0100,30.6068
10/05/2018,388.2392,4.5236,45.0100,30.6068
10/04/2018,383.7156,1.7889,45.0100,30.6068
10/03/2018,381.9267,-4.1814,45.0100,31.0569
10/02/2018,386.1081,4.0892,45.0100,31.0569
10/01/2018,382.0189,-2.2785,45.0100,31.0569
09/28/2018,384.2974,-4.2283,45.0100,31.0569
09/27/2018,388.5257,0.1004,45.0100,31.0569
09/26/2018,388.4253,-4.6310,45.0100,30.1567
09/25/2018,393.0563,4.2909,45.0100,30.1567
